time_bin,detectorID,density_attack,density_base
0.0,E0_0m,20.05,20.05
0.0,E0_1000m,18.66,18.66
0.0,E0_100m,20.39,20.39
0.0,E0_1100m,18.44,18.44
0.0,E0_1200m,18.19,18.19
0.0,E0_1300m,17.92,17.92
0.0,E0_1400m,17.68,17.68
0.0,E0_1500m,17.41,17.41
0.0,E0_1600m,17.19,17.19
0.0,E0_1700m,16.87,16.87
0.0,E0_1800m,16.63,16.63
0.0,E0_1900m,16.36,16.36
0.0,E0_2000m,16.08,16.08
0.0,E0_200m,20.23,20.23
0.0,E0_2100m,15.88,15.88
0.0,E0_2200m,15.66,15.66
0.0,E0_2300m,15.44,15.44
0.0,E0_2400m,15.2,15.2
0.0,E0_2500m,14.98,14.98
0.0,E0_2600m,14.66,14.66
0.0,E0_2700m,14.39,14.39
0.0,E0_2800m,14.13,14.13
0.0,E0_2900m,13.82,13.82
0.0,E0_3000m,13.54,13.54
0.0,E0_300m,20.09,20.09
0.0,E0_3100m,13.26,13.26
0.0,E0_3200m,12.95,12.95
0.0,E0_3300m,12.58,12.58
0.0,E0_3400m,12.22,12.22
0.0,E0_3500m,11.93,11.93
0.0,E0_3600m,11.6,11.6
0.0,E0_3700m,11.26,11.26
0.0,E0_3800m,10.93,10.93
0.0,E0_3900m,10.6,10.6
0.0,E0_4000m,10.26,10.26
0.0,E0_400m,19.9,19.9
0.0,E0_4100m,9.98,9.98
0.0,E0_4200m,9.66,9.66
0.0,E0_4300m,9.32,9.32
0.0,E0_4400m,9.02,9.02
0.0,E0_4500m,8.76,8.76
0.0,E0_4600m,8.49,8.49
0.0,E0_4700m,8.23,8.23
0.0,E0_4800m,7.97,7.97
0.0,E0_4900m,7.7,7.7
0.0,E0_500m,19.74,19.74
0.0,E0_600m,19.55,19.55
0.0,E0_700m,19.36,19.36
0.0,E0_800m,19.12,19.12
0.0,E0_900m,18.92,18.92
300.0,E0_0m,21.66,21.66
300.0,E0_1000m,22.65,22.65
300.0,E0_100m,22.0,22.0
300.0,E0_1100m,22.79,22.79
300.0,E0_1200m,22.87,22.87
