time_bin,detectorID,density_attack,density_base,LOS_attack,LOS_base,distance
0.0,E0_0m,32.267267000000004,32.267267000000004,D,D,0
0.0,E0_100m,32.8144426,32.8144426,D,D,100
0.0,E0_200m,32.5569482,32.5569482,D,D,200
0.0,E0_300m,32.3316406,32.3316406,D,D,300
0.0,E0_400m,32.025866,32.025866,D,D,400
0.0,E0_500m,31.7683716,31.7683716,D,D,500
0.0,E0_600m,31.462597000000002,31.462597000000002,D,D,600
0.0,E0_700m,31.1568224,31.1568224,D,D,700
0.0,E0_800m,30.7705808,30.7705808,D,D,800
0.0,E0_900m,30.448712800000003,30.448712800000003,D,D,900
0.0,E0_1000m,30.0302844,30.0302844,D,D,1000
0.0,E0_1100m,29.676229600000003,29.676229600000003,D,D,1100
0.0,E0_1200m,29.273894600000002,29.273894600000002,D,D,1200
0.0,E0_1300m,28.839372800000003,28.839372800000003,D,D,1300
0.0,E0_1400m,28.453131199999998,28.453131199999998,D,D,1400
0.0,E0_1500m,28.0186094,28.0186094,D,D,1500
0.0,E0_1600m,27.664554600000002,27.664554600000002,D,D,1600
0.0,E0_1700m,27.1495658,27.1495658,D,D,1700
0.0,E0_1800m,26.7633242,26.7633242,D,D,1800
0.0,E0_1900m,26.3288024,26.3288024,D,D,1900
0.0,E0_2000m,25.878187199999996,25.878187199999996,C,C,2000
0.0,E0_2100m,25.5563192,25.5563192,C,C,2100
0.0,E0_2200m,25.2022644,25.2022644,C,C,2200
0.0,E0_2300m,24.8482096,24.8482096,C,C,2300
0.0,E0_2400m,24.461968,24.461968,C,C,2400
0.0,E0_2500m,24.107913200000002,24.107913200000002,C,C,2500
0.0,E0_2600m,23.5929244,23.5929244,C,C,2600
0.0,E0_2700m,23.158402600000002,23.158402600000002,C,C,2700
0.0,E0_2800m,22.739974200000002,22.739974200000002,C,C,2800
0.0,E0_2900m,22.2410788,22.2410788,C,C,2900
0.0,E0_3000m,21.7904636,21.7904636,C,C,3000
0.0,E0_3100m,21.3398484,21.3398484,C,C,3100
0.0,E0_3200m,20.840953,20.840953,C,C,3200
0.0,E0_3300m,20.2454972,20.2454972,C,C,3300
0.0,E0_3400m,19.666134800000002,19.666134800000002,C,C,3400
0.0,E0_3500m,19.199426199999998,19.199426199999998,C,C,3500
0.0,E0_3600m,18.668343999999998,18.668343999999998,C,C,3600
0.0,E0_3700m,18.1211684,18.1211684,C,C,3700
0.0,E0_3800m,17.5900862,17.5900862,B,B,3800
0.0,E0_3900m,17.059003999999998,17.059003999999998,B,B,3900
0.0,E0_4000m,16.5118284,16.5118284,B,B,4000
0.0,E0_4100m,16.0612132,16.0612132,B,B,4100
0.0,E0_4200m,15.5462244,15.5462244,B,B,4200
0.0,E0_4300m,14.9990488,14.9990488,B,B,4300
0.0,E0_4400m,14.5162468,14.5162468,B,B,4400
0.0,E0_4500m,14.0978184,14.0978184,B,B,4500
0.0,E0_4600m,13.6632966,13.6632966,B,B,4600
0.0,E0_4700m,13.2448682,13.2448682,B,B,4700
0.0,E0_4800m,12.8264398,12.8264398,B,B,4800
0.0,E0_4900m,12.391918,12.391918,B,B,4900
300.0,E0_0m,34.8583044,34.8583044,D,D,0
300.0,E0_100m,35.40548,35.40548,E,E,100
300.0,E0_200m,35.4215734,35.4215734,E,E,200
300.0,E0_300m,35.5181338,35.5181338,E,E,300
300.0,E0_400m,35.646881,35.646881,E,E,400
300.0,E0_500m,35.807815,35.807815,E,E,500
300.0,E0_600m,36.017029199999996,36.017029199999996,E,E,600
300.0,E0_700m,36.1618698,36.1618698,E,E,700
300.0,E0_800m,36.3228038,36.3228038,E,E,800
300.0,E0_900m,36.371084,36.371084,E,E,900
300.0,E0_1000m,36.451550999999995,36.451550999999995,E,E,1000
300.0,E0_1100m,36.676858599999996,36.676858599999996,E,E,1100
300.0,E0_1200m,36.8056058,36.8056058,E,E,1200
300.0,E0_1300m,36.8860728,36.8860728,E,E,1300
300.0,E0_1400m,36.9987266,36.9987266,E,E,1400
300.0,E0_1500m,37.0470068,37.0470068,E,E,1500
300.0,E0_1600m,37.2079408,37.2079408,E,E,1600
300.0,E0_1700m,37.2884078,37.2884078,E,E,1700
300.0,E0_1800m,37.3688748,37.3688748,E,E,1800
300.0,E0_1900m,37.4654352,37.4654352,E,E,1900
300.0,E0_2000m,37.4815286,37.4815286,E,E,2000
300.0,E0_2100m,37.4654352,37.4654352,E,E,2100
300.0,E0_2200m,37.5298088,37.5298088,E,E,2200
300.0,E0_2300m,37.5619956,37.5619956,E,E,2300
300.0,E0_2400m,37.5619956,37.5619956,E,E,2400
300.0,E0_2500m,37.5459022,37.5459022,E,E,2500
300.0,E0_2600m,37.5941824,37.5941824,E,E,2600
300.0,E0_2700m,37.6263692,37.6263692,E,E,2700
300.0,E0_2800m,37.6907428,37.6907428,E,E,2800
300.0,E0_2900m,37.658556,37.658556,E,E,2900
300.0,E0_3000m,37.610275800000004,37.610275800000004,E,E,3000
300.0,E0_3100m,37.6424626,37.6424626,E,E,3100
300.0,E0_3200m,37.7068362,37.7068362,E,E,3200
300.0,E0_3300m,37.7229296,37.7229296,E,E,3300
300.0,E0_3400m,37.7712098,37.7712098,E,E,3400
300.0,E0_3500m,37.81949,37.81949,E,E,3500
300.0,E0_3600m,37.8516768,37.8516768,E,E,3600
300.0,E0_3700m,37.8516768,37.8516768,E,E,3700
300.0,E0_3800m,37.8838636,37.8838636,E,E,3800
300.0,E0_3900m,37.916050399999996,37.916050399999996,E,E,3900
300.0,E0_4000m,37.8677702,37.8677702,E,E,4000
300.0,E0_4100m,37.8516768,37.8516768,E,E,4100
