interval_begin,interval_id_combined,link,pos,SPR,FR,interval_harmonicMeanSpeed_attack,interval_harmonicMeanSpeed_base,interval_flow_attack,interval_flow_base
0.0,E0_0m,E0,0,-1.0,1.0,-1.0,-1.0,0.0,0.0
0.0,E0_100m,E0,100,1.0,1.0,27.49,27.49,3858.4,3858.4
0.0,E0_200m,E0,200,1.0,1.0,27.42,27.42,3811.2,3811.2
0.0,E0_300m,E0,300,1.0,1.0,27.26,27.26,3759.6,3759.6
0.0,E0_400m,E0,400,1.0,1.0,27.11,27.11,3708.0,3708.0
0.0,E0_500m,E0,500,1.0,1.0,26.98,26.98,3658.0,3658.0
0.0,E0_600m,E0,600,1.0,1.0,26.86,26.86,3609.6,3609.6
0.0,E0_700m,E0,700,1.0,1.0,26.75,26.75,3558.4,3558.4
0.0,E0_800m,E0,800,1.0,1.0,26.66,26.66,3510.0,3510.0
0.0,E0_900m,E0,900,1.0,1.0,26.58,26.58,3461.6,3461.6
0.0,E0_1000m,E0,1000,1.0,1.0,26.51,26.51,3408.4,3408.4
0.0,E0_1100m,E0,1100,1.0,1.0,26.43,26.43,3360.0,3360.0
0.0,E0_1200m,E0,1200,1.0,1.0,26.38,26.38,3308.0,3308.0
0.0,E0_1300m,E0,1300,1.0,1.0,26.32,26.32,3255.6,3255.6
0.0,E0_1400m,E0,1400,1.0,1.0,26.27,26.27,3203.2,3203.2
0.0,E0_1500m,E0,1500,1.0,1.0,26.22,26.22,3152.0,3152.0
0.0,E0_1600m,E0,1600,1.0,1.0,26.18,26.18,3102.4,3102.4
0.0,E0_1700m,E0,1700,1.0,1.0,26.14,26.14,3051.2,3051.2
0.0,E0_1800m,E0,1800,1.0,1.0,26.1,26.1,2996.8,2996.8
0.0,E0_1900m,E0,1900,1.0,1.0,26.07,26.07,2942.4,2942.4
0.0,E0_2000m,E0,2000,1.0,1.0,26.07,26.07,2896.4,2896.4
0.0,E0_2100m,E0,2100,1.0,1.0,26.06,26.06,2848.4,2848.4
0.0,E0_2200m,E0,2200,1.0,1.0,26.03,26.03,2808.0,2808.0
