scenario,interval_begin,link,pos,interval_flow,interval_harmonicMeanSpeed,interval_id_combined
attack,0.0,E0,0,0.0,-1.0,E0_0m
attack,0.0,E0,100,3972.8,27.328666666666667,E0_100m
attack,0.0,E0,200,3925.6,27.22566666666667,E0_200m
attack,0.0,E0,300,3878.8,27.03516666666667,E0_300m
attack,0.0,E0,400,3830.8,26.846000000000004,E0_400m
attack,0.0,E0,500,3775.2,26.679333333333332,E0_500m
attack,0.0,E0,600,3723.2,26.532833333333333,E0_600m
attack,0.0,E0,700,3669.6000000000004,26.401999999999997,E0_700m
attack,0.0,E0,800,3618.8,26.28933333333333,E0_800m
attack,0.0,E0,900,3569.2,26.192833333333336,E0_900m
attack,0.0,E0,1000,3516.8,26.087666666666664,E0_1000m
attack,0.0,E0,1100,3466.4,25.9815,E0_1100m
attack,0.0,E0,1200,3415.2,25.8775,E0_1200m
attack,0.0,E0,1300,3368.0,25.7755,E0_1300m
attack,0.0,E0,1400,3320.0,25.701833333333333,E0_1400m
attack,0.0,E0,1500,3270.8,25.656666666666663,E0_1500m
attack,0.0,E0,1600,3221.2,25.622333333333334,E0_1600m
attack,0.0,E0,1700,3170.3999999999996,25.567500000000003,E0_1700m
attack,0.0,E0,1800,3116.0,25.517,E0_1800m
attack,0.0,E0,1900,3062.8,25.499999999999993,E0_1900m
attack,0.0,E0,2000,3009.6,25.45766666666666,E0_2000m
attack,0.0,E0,2100,2953.6,25.413999999999998,E0_2100m
attack,0.0,E0,2200,2900.3999999999996,25.375333333333337,E0_2200m
attack,0.0,E0,2300,2847.2,25.35416666666667,E0_2300m
attack,0.0,E0,2400,2788.4,25.337666666666664,E0_2400m
attack,0.0,E0,2500,2734.0,25.337999999999997,E0_2500m
attack,0.0,E0,2600,2678.0,25.3375,E0_2600m
attack,0.0,E0,2700,2621.2,25.340000000000007,E0_2700m
attack,0.0,E0,2800,2562.3999999999996,25.351333333333336,E0_2800m
attack,0.0,E0,2900,2504.4,25.360999999999997,E0_2900m
attack,0.0,E0,3000,2445.2,25.373333333333328,E0_3000m
attack,0.0,E0,3100,2390.3999999999996,25.399166666666666,E0_3100m
attack,0.0,E0,3200,2334.4,25.42066666666667,E0_3200m
attack,0.0,E0,3300,2281.6000000000004,25.437666666666665,E0_3300m
attack,0.0,E0,3400,2226.8,25.453166666666668,E0_3400m
attack,0.0,E0,3500,2164.0,25.48066666666667,E0_3500m
attack,0.0,E0,3600,2101.2,25.514333333333333,E0_3600m
attack,0.0,E0,3700,2042.3999999999999,25.559666666666665,E0_3700m
attack,0.0,E0,3800,1985.6000000000001,25.5845,E0_3800m
attack,0.0,E0,3900,1931.1999999999998,25.6145,E0_3900m
attack,0.0,E0,4000,1880.8000000000002,25.64116666666667,E0_4000m
attack,0.0,E0,4100,1826.0,25.712333333333337,E0_4100m
attack,0.0,E0,4200,1773.2,25.75483333333333,E0_4200m
attack,0.0,E0,4300,1720.0,25.798666666666666,E0_4300m
attack,0.0,E0,4400,1667.2,25.836166666666664,E0_4400m
attack,0.0,E0,4500,1610.8000000000002,25.875500000000002,E0_4500m
attack,0.0,E0,4600,1553.1999999999998,25.913666666666664,E0_4600m
attack,0.0,E0,4700,1492.0,26.0135,E0_4700m
attack,0.0,E0,4800,1433.6,26.110166666666665,E0_4800m
attack,0.0,E0,4900,1381.1999999999998,26.20416666666667,E0_4900m
attack,0.0,E0,5000,1334.0,26.297666666666665,E0_5000m
attack,300.0,E0,0,0.0,-1.0,E0_0m
attack,300.0,E0,100,4026.3999999999996,26.672333333333338,E0_100m
attack,300.0,E0,200,4022.8,26.806,E0_200m
attack,300.0,E0,300,4020.8,26.703333333333337,E0_300m
attack,300.0,E0,400,4020.0,26.559000000000005,E0_400m
attack,300.0,E0,500,4022.3999999999996,26.435333333333332,E0_500m
attack,300.0,E0,600,4020.8,26.314999999999998,E0_600m
attack,300.0,E0,700,4022.0,26.1885,E0_700m
attack,300.0,E0,800,4017.6000000000004,26.071166666666667,E0_800m
attack,300.0,E0,900,4016.7999999999997,25.946333333333328,E0_900m
attack,300.0,E0,1000,4025.2,25.825499999999998,E0_1000m
attack,300.0,E0,1100,4022.0,25.68483333333333,E0_1100m
attack,300.0,E0,1200,4028.0,25.576833333333337,E0_1200m
attack,300.0,E0,1300,4021.6,25.477333333333334,E0_1300m
attack,300.0,E0,1400,4016.4,25.381833333333333,E0_1400m
attack,300.0,E0,1500,4013.6000000000004,25.317,E0_1500m
attack,300.0,E0,1600,4015.2000000000003,25.241999999999997,E0_1600m
attack,300.0,E0,1700,4014.4,25.178999999999995,E0_1700m
attack,300.0,E0,1800,4014.0,25.116833333333332,E0_1800m
attack,300.0,E0,1900,4017.6,25.060833333333335,E0_1900m
attack,300.0,E0,2000,4015.6000000000004,25.015,E0_2000m
attack,300.0,E0,2100,4015.2,24.970666666666666,E0_2100m
attack,300.0,E0,2200,4012.4,24.921666666666667,E0_2200m
attack,300.0,E0,2300,4005.2,24.8765,E0_2300m
attack,300.0,E0,2400,4008.8,24.847,E0_2400m
attack,300.0,E0,2500,4002.8,24.815833333333334,E0_2500m
attack,300.0,E0,2600,3998.8,24.79116666666667,E0_2600m
attack,300.0,E0,2700,4000.7999999999997,24.73783333333333,E0_2700m
attack,300.0,E0,2800,4008.0,24.700500000000005,E0_2800m
attack,300.0,E0,2900,4009.2,24.659166666666664,E0_2900m
attack,300.0,E0,3000,4014.0,24.609166666666667,E0_3000m
attack,300.0,E0,3100,4014.0,24.5625,E0_3100m
attack,300.0,E0,3200,4014.3999999999996,24.522500000000004,E0_3200m
attack,300.0,E0,3300,4013.6,24.4985,E0_3300m
attack,300.0,E0,3400,4016.0,24.454666666666668,E0_3400m
attack,300.0,E0,3500,4024.0,24.4275,E0_3500m
attack,300.0,E0,3600,4031.6,24.396166666666666,E0_3600m
attack,300.0,E0,3700,4034.0,24.361000000000004,E0_3700m
attack,300.0,E0,3800,4040.0,24.33133333333334,E0_3800m
attack,300.0,E0,3900,4042.0,24.309666666666665,E0_3900m
attack,300.0,E0,4000,4039.6,24.284833333333328,E0_4000m
attack,300.0,E0,4100,4034.8,24.276833333333336,E0_4100m
attack,300.0,E0,4200,4027.6,24.257666666666665,E0_4200m
attack,300.0,E0,4300,4021.2,24.246833333333335,E0_4300m
attack,300.0,E0,4400,4014.0,24.245166666666663,E0_4400m
attack,300.0,E0,4500,4011.6,24.257833333333334,E0_4500m
attack,300.0,E0,4600,4017.6,24.276666666666664,E0_4600m
attack,300.0,E0,4700,4025.6,24.302166666666672,E0_4700m
attack,300.0,E0,4800,4031.6,24.333833333333335,E0_4800m
attack,300.0,E0,4900,4026.0,24.385166666666667,E0_4900m
attack,300.0,E0,5000,4008.3999999999996,24.462000000000003,E0_5000m
attack,600.0,E0,0,0.0,-1.0,E0_0m
attack,600.0,E0,100,4074.7999999999997,26.5375,E0_100m
attack,600.0,E0,200,4076.4,26.747999999999998,E0_200m
attack,600.0,E0,300,4075.2,26.705499999999997,E0_300m
attack,600.0,E0,400,4068.4,26.608000000000004,E0_400m
attack,600.0,E0,500,4068.3999999999996,26.4775,E0_500m
attack,600.0,E0,600,4070.0,26.347166666666666,E0_600m
attack,600.0,E0,700,4074.3999999999996,26.234,E0_700m
attack,600.0,E0,800,4074.0,26.11683333333334,E0_800m
attack,600.0,E0,900,4070.4,26.002333333333333,E0_900m
attack,600.0,E0,1000,4066.7999999999997,25.887,E0_1000m
attack,600.0,E0,1100,4068.8,25.80783333333333,E0_1100m
attack,600.0,E0,1200,4068.8,25.721333333333334,E0_1200m
attack,600.0,E0,1300,4074.3999999999996,25.637666666666668,E0_1300m
attack,600.0,E0,1400,4079.2,25.541500000000003,E0_1400m
attack,600.0,E0,1500,4077.6,25.482499999999995,E0_1500m
attack,600.0,E0,1600,4068.0,25.433833333333332,E0_1600m
attack,600.0,E0,1700,4059.2,25.371499999999997,E0_1700m
attack,600.0,E0,1800,4062.8,25.316500000000005,E0_1800m
attack,600.0,E0,1900,4058.8,25.26266666666667,E0_1900m
attack,600.0,E0,2000,4056.3999999999996,25.22,E0_2000m
attack,600.0,E0,2100,4059.2,25.176166666666667,E0_2100m
attack,600.0,E0,2200,4054.0,25.124333333333336,E0_2200m
attack,600.0,E0,2300,4056.8,25.047833333333337,E0_2300m
attack,600.0,E0,2400,4059.2000000000003,24.945833333333333,E0_2400m
attack,600.0,E0,2500,4065.6000000000004,24.805666666666667,E0_2500m
attack,600.0,E0,2600,4068.4,24.616333333333337,E0_2600m
attack,600.0,E0,2700,4066.7999999999997,24.33383333333333,E0_2700m
attack,600.0,E0,2800,4058.8,23.899333333333338,E0_2800m
attack,600.0,E0,2900,4055.6000000000004,23.216333333333335,E0_2900m
attack,600.0,E0,3000,4052.0,22.148,E0_3000m
attack,600.0,E0,3100,4046.8,22.013333333333335,E0_3100m
attack,600.0,E0,3200,4042.4,22.096333333333334,E0_3200m
attack,600.0,E0,3300,4037.2,22.131333333333338,E0_3300m
attack,600.0,E0,3400,4021.6000000000004,22.142166666666668,E0_3400m
attack,600.0,E0,3500,4012.0,22.12183333333334,E0_3500m
attack,600.0,E0,3600,4004.4,22.112000000000002,E0_3600m
attack,600.0,E0,3700,3994.8,22.137833333333333,E0_3700m
attack,600.0,E0,3800,3982.8,22.133333333333333,E0_3800m
