interval_begin;interval_end;interval_flow;interval_harmonicMeanSpeed;interval_id;interval_length;interval_nVehContrib;interval_nVehEntered;interval_occupancy;interval_speed
0.00;300.00;0.00;-1.00;E0_0_0m;-1.00;0;0;0.00;-1.00
0.00;300.00;0.00;-1.00;E0_1_0m;-1.00;0;0;0.00;-1.00
0.00;300.00;2220.00;25.65;E0_0_100m;5.00;185;185;12.02;25.72
0.00;300.00;2208.00;27.04;E0_1_100m;5.00;184;184;11.34;27.15
0.00;300.00;2184.00;25.62;E0_0_200m;5.00;182;182;11.84;25.69
0.00;300.00;2184.00;27.12;E0_1_200m;5.00;182;182;11.18;27.27
0.00;300.00;2124.00;25.78;E0_0_300m;5.00;177;177;11.44;25.85
0.00;300.00;2172.00;27.02;E0_1_300m;5.00;181;181;11.16;27.16
0.00;300.00;2076.00;25.72;E0_0_400m;5.00;173;173;11.21;25.79
0.00;300.00;2148.00;27.01;E0_1_400m;5.00;179;179;11.05;27.13
0.00;300.00;2040.00;25.58;E0_0_500m;5.00;170;170;11.08;25.64
0.00;300.00;2112.00;26.91;E0_1_500m;5.00;176;176;10.90;27.04
0.00;300.00;2004.00;25.62;E0_0_600m;5.00;167;167;10.86;25.68
0.00;300.00;2076.00;26.80;E0_1_600m;5.00;173;173;10.76;26.91
0.00;300.00;1968.00;25.57;E0_0_700m;5.00;164;165;10.74;25.64
0.00;300.00;2052.00;26.75;E0_1_700m;5.00;171;171;10.65;26.85
0.00;300.00;1896.00;25.55;E0_0_800m;5.00;158;158;10.31;25.64
0.00;300.00;2064.00;26.68;E0_1_800m;5.00;172;172;10.74;26.77
0.00;300.00;1884.00;25.56;E0_0_900m;5.00;157;157;10.24;25.64
0.00;300.00;2028.00;26.52;E0_1_900m;5.00;169;169;10.62;26.60
0.00;300.00;1860.00;25.62;E0_0_1000m;5.00;155;155;10.08;25.69
0.00;300.00;2004.00;26.39;E0_1_1000m;5.00;167;167;10.55;26.47
0.00;300.00;1824.00;25.57;E0_0_1100m;5.00;152;152;9.91;25.64
0.00;300.00;1992.00;26.29;E0_1_1100m;5.00;166;166;10.52;26.37
0.00;300.00;1788.00;25.45;E0_0_1200m;5.00;149;149;9.76;25.51
0.00;300.00;1956.00;26.18;E0_1_1200m;5.00;163;163;10.38;26.26
0.00;300.00;1764.00;25.40;E0_0_1300m;5.00;147;147;9.65;25.46
0.00;300.00;1908.00;26.02;E0_1_1300m;5.00;159;159;10.19;26.07
0.00;300.00;1716.00;25.31;E0_0_1400m;5.00;143;143;9.42;25.37
0.00;300.00;1920.00;25.90;E0_1_1400m;5.00;160;160;10.30;25.95
0.00;300.00;1704.00;25.29;E0_0_1500m;5.00;142;142;9.36;25.36
0.00;300.00;1884.00;25.79;E0_1_1500m;5.00;157;157;10.14;25.85
0.00;300.00;1668.00;25.27;E0_0_1600m;5.00;139;139;9.17;25.34
0.00;300.00;1860.00;25.72;E0_1_1600m;5.00;155;155;10.05;25.77
0.00;300.00;1632.00;25.17;E0_0_1700m;5.00;136;136;9.01;25.23
0.00;300.00;1836.00;25.64;E0_1_1700m;5.00;153;153;9.95;25.69
0.00;300.00;1572.00;25.09;E0_0_1800m;5.00;131;131;8.70;25.14
0.00;300.00;1824.00;25.61;E0_1_1800m;5.00;152;152;9.89;25.67
0.00;300.00;1548.00;24.98;E0_0_1900m;5.00;129;129;8.61;25.04
0.00;300.00;1788.00;25.66;E0_1_1900m;5.00;149;149;9.68;25.73
0.00;300.00;1536.00;24.92;E0_0_2000m;5.00;128;128;8.56;24.99
0.00;300.00;1740.00;25.64;E0_1_2000m;5.00;145;145;9.42;25.72
0.00;300.00;1512.00;24.86;E0_0_2100m;5.00;126;126;8.45;24.93
0.00;300.00;1692.00;25.63;E0_1_2100m;5.00;141;141;9.17;25.73
0.00;300.00;1464.00;24.75;E0_0_2200m;5.00;122;123;8.26;24.83
0.00;300.00;1668.00;25.60;E0_1_2200m;5.00;139;139;9.05;25.71
0.00;300.00;1452.00;24.60;E0_0_2300m;5.00;121;121;8.20;24.70
0.00;300.00;1644.00;25.60;E0_1_2300m;5.00;137;137;8.92;25.70
0.00;300.00;1416.00;24.59;E0_0_2400m;5.00;118;118;8.00;24.69
0.00;300.00;1608.00;25.55;E0_1_2400m;5.00;134;134;8.74;25.62
0.00;300.00;1356.00;24.60;E0_0_2500m;5.00;113;113;7.65;24.69
0.00;300.00;1596.00;25.53;E0_1_2500m;5.00;133;134;8.74;25.59
0.00;300.00;1320.00;24.67;E0_0_2600m;5.00;110;110;7.43;24.75
0.00;300.00;1572.00;25.57;E0_1_2600m;5.00;131;131;8.54;25.61
0.00;300.00;1308.00;24.67;E0_0_2700m;5.00;109;109;7.36;24.75
0.00;300.00;1524.00;25.64;E0_1_2700m;5.00;127;127;8.25;25.70
0.00;300.00;1284.00;24.57;E0_0_2800m;5.00;107;107;7.26;24.65
0.00;300.00;1512.00;25.74;E0_1_2800m;5.00;126;126;8.16;25.80
0.00;300.00;1260.00;24.39;E0_0_2900m;5.00;105;105;7.18;24.48
0.00;300.00;1464.00;25.92;E0_1_2900m;5.00;122;122;7.84;26.01
0.00;300.00;1236.00;24.09;E0_0_3000m;5.00;103;103;7.13;24.19
0.00;300.00;1416.00;25.73;E0_1_3000m;5.00;118;118;7.64;25.80
0.00;300.00;1188.00;24.31;E0_0_3100m;5.00;99;100;6.85;24.40
0.00;300.00;1380.00;25.46;E0_1_3100m;5.00;115;115;7.53;25.51
0.00;300.00;1152.00;24.59;E0_0_3200m;5.00;96;97;6.53;24.67
0.00;300.00;1344.00;25.28;E0_1_3200m;5.00;112;113;7.39;25.33
0.00;300.00;1116.00;24.71;E0_0_3300m;5.00;93;93;6.27;24.78
0.00;300.00;1320.00;25.14;E0_1_3300m;5.00;110;110;7.29;25.19
0.00;300.00;1080.00;24.78;E0_0_3400m;5.00;90;90;6.05;24.84
0.00;300.00;1284.00;25.01;E0_1_3400m;5.00;107;107;7.13;25.06
0.00;300.00;1056.00;24.80;E0_0_3500m;5.00;88;88;5.91;24.86
0.00;300.00;1260.00;24.90;E0_1_3500m;5.00;105;105;7.03;24.93
0.00;300.00;1032.00;24.80;E0_0_3600m;5.00;86;86;5.78;24.86
0.00;300.00;1236.00;24.77;E0_1_3600m;5.00;103;103;6.93;24.79
0.00;300.00;1032.00;24.73;E0_0_3700m;5.00;86;86;5.80;24.80
0.00;300.00;1212.00;24.72;E0_1_3700m;5.00;101;102;6.85;24.73
0.00;300.00;1020.00;24.52;E0_0_3800m;5.00;85;85;5.78;24.61
0.00;300.00;1188.00;24.71;E0_1_3800m;5.00;99;99;6.68;24.72
0.00;300.00;996.00;24.40;E0_0_3900m;5.00;83;83;5.67;24.49
0.00;300.00;1152.00;24.73;E0_1_3900m;5.00;96;96;6.47;24.74
0.00;300.00;972.00;24.25;E0_0_4000m;5.00;81;81;5.57;24.35
0.00;300.00;1116.00;24.75;E0_1_4000m;5.00;93;93;6.26;24.77
0.00;300.00;936.00;24.45;E0_0_4100m;5.00;78;78;5.32;24.54
0.00;300.00;1080.00;24.81;E0_1_4100m;5.00;90;90;6.05;24.83
0.00;300.00;912.00;24.58;E0_0_4200m;5.00;76;76;5.15;24.66
0.00;300.00;1032.00;24.87;E0_1_4200m;5.00;86;86;5.76;24.89
0.00;300.00;876.00;24.77;E0_0_4300m;5.00;73;73;4.91;24.85
0.00;300.00;996.00;24.81;E0_1_4300m;5.00;83;84;5.60;24.82
0.00;300.00;840.00;24.81;E0_0_4400m;5.00;70;70;4.70;24.89
0.00;300.00;972.00;24.77;E0_1_4400m;5.00;81;81;5.45;24.79
0.00;300.00;804.00;24.84;E0_0_4500m;5.00;67;67;4.50;24.92
0.00;300.00;936.00;24.73;E0_1_4500m;5.00;78;78;5.26;24.75
0.00;300.00;768.00;24.87;E0_0_4600m;5.00;64;64;4.29;24.96
0.00;300.00;900.00;24.69;E0_1_4600m;5.00;75;75;5.06;24.71
0.00;300.00;756.00;24.88;E0_0_4700m;5.00;63;63;4.22;24.96
0.00;300.00;864.00;24.70;E0_1_4700m;5.00;72;72;4.86;24.71
0.00;300.00;720.00;24.90;E0_0_4800m;5.00;60;60;4.02;24.99
0.00;300.00;828.00;24.71;E0_1_4800m;5.00;69;69;4.65;24.72
0.00;300.00;708.00;24.91;E0_0_4900m;5.00;59;59;3.95;25.00
0.00;300.00;816.00;24.72;E0_1_4900m;5.00;68;68;4.59;24.73
0.00;300.00;708.00;24.94;E0_0_5000m;5.00;59;59;3.94;25.03
0.00;300.00;816.00;24.74;E0_1_5000m;5.00;68;68;4.58;24.76
300.00;600.00;0.00;-1.00;E0_0_0m;-1.00;0;0;0.00;-1.00
300.00;600.00;0.00;-1.00;E0_1_0m;-1.00;0;0;0.00;-1.00
300.00;600.00;2004.00;25.57;E0_0_100m;5.00;167;168;10.94;25.70
300.00;600.00;2148.00;27.64;E0_1_100m;5.00;179;179;10.79;27.85
300.00;600.00;1944.00;25.22;E0_0_200m;5.00;162;162;10.70;25.41
300.00;600.00;2220.00;27.95;E0_1_200m;5.00;185;185;11.03;28.11
300.00;600.00;1932.00;24.95;E0_0_300m;5.00;161;161;10.76;25.15
300.00;600.00;2244.00;27.86;E0_1_300m;5.00;187;187;11.19;28.04
300.00;600.00;1932.00;24.78;E0_0_400m;5.00;161;163;10.90;24.98
300.00;600.00;2256.00;27.66;E0_1_400m;5.00;188;188;11.33;27.86
300.00;600.00;1932.00;24.75;E0_0_500m;5.00;161;161;10.84;24.95
300.00;600.00;2268.00;27.49;E0_1_500m;5.00;189;189;11.46;27.69
300.00;600.00;1944.00;24.64;E0_0_600m;5.00;162;162;10.96;24.82
300.00;600.00;2256.00;27.33;E0_1_600m;5.00;188;188;11.46;27.52
300.00;600.00;1944.00;24.48;E0_0_700m;5.00;162;162;11.01;24.66
300.00;600.00;2244.00;27.22;E0_1_700m;5.00;187;187;11.45;27.38
300.00;600.00;1896.00;24.55;E0_0_800m;5.00;158;158;10.73;24.74
300.00;600.00;2280.00;27.16;E0_1_800m;5.00;190;190;11.66;27.29
300.00;600.00;1872.00;24.59;E0_0_900m;5.00;156;156;10.57;24.78
300.00;600.00;2280.00;27.10;E0_1_900m;5.00;190;190;11.69;27.21
300.00;600.00;1836.00;24.55;E0_0_1000m;5.00;153;153;10.39;24.73
300.00;600.00;2292.00;27.08;E0_1_1000m;5.00;191;191;11.75;27.18
300.00;600.00;1848.00;24.38;E0_0_1100m;5.00;154;154;10.53;24.55
300.00;600.00;2268.00;27.16;E0_1_1100m;5.00;189;189;11.60;27.23
300.00;600.00;1860.00;24.29;E0_0_1200m;5.00;155;155;10.63;24.45
300.00;600.00;2328.00;27.08;E0_1_1200m;5.00;194;194;11.94;27.15
300.00;600.00;1920.00;24.33;E0_0_1300m;5.00;160;160;10.96;24.48
300.00;600.00;2340.00;26.95;E0_1_1300m;5.00;195;195;12.06;27.02
300.00;600.00;1872.00;24.45;E0_0_1400m;5.00;156;156;10.63;24.61
300.00;600.00;2376.00;26.86;E0_1_1400m;5.00;198;198;12.29;26.92
300.00;600.00;1824.00;24.53;E0_0_1500m;5.00;152;153;10.35;24.69
300.00;600.00;2400.00;26.74;E0_1_1500m;5.00;200;200;12.47;26.79
300.00;600.00;1848.00;24.44;E0_0_1600m;5.00;154;154;10.50;24.60
