Time (s),Vehicle ID,Acceleration (m/s^2),Speed (mph),Position,Scenario,Seed
235.3,f_0.28,-4.580382551500968,59.72116769861631,132.5709242223635,base,22496
817.9,f_0.115,-5.059324963793799,59.421229723249105,47.038657903686534,base,22496
818.0,f_0.115,-4.866620327945412,58.33259595560969,49.64635395076914,base,22496
818.1,f_0.115,-4.682170646191857,57.285222475080445,52.207228291389825,base,22496
818.2,f_0.115,-4.505661463420125,56.27733303968215,54.72304601737631,base,22496
963.7,f_0.127,-4.500000000000028,73.46076832846401,2249.3896730751826,base,22496
963.9,f_0.127,-4.500000000000028,72.90490402429504,2255.9529439295006,base,22496
964.0,f_0.127,-4.500000000000028,71.89828102429503,2259.16707935666,base,22496
5736.3,f_0.766,-5.2560641299882604,56.1533401029532,46.90496886263942,base,22496
5736.4,f_0.766,-5.013569716110844,55.031834638877505,49.3651079204093,base,22496
5736.5,f_0.766,-4.802288692477923,53.95759147210235,51.777224091254396,base,22496
5736.6,f_0.766,-4.603907320139626,52.927725028031034,54.1433011888981,base,22496
6542.7,f_0.875,-4.6095063382491475,61.79597281642332,99.54450289385628,base,22496
6903.2,f_0.926,-5.03991601894505,54.44736391513443,34.40311174219682,base,22496
6903.3,f_0.926,-4.802341898033617,53.3731088465957,36.78909924506215,base,22496
6903.4,f_0.926,-4.6288340358972135,52.337666445769706,39.1287984075685,base,22496
7506.8,f_0.1003,-4.500000000000028,71.73181168483342,236.12541005503064,base,22496
