Scenario,Seed,WallClock (s)
attack,14578,1667.0891706943512
base,14578,597.2712762355804
attack,6387,1793.6942486763
attack,19843,1681.1168026924133
attack,20745,1681.4477052688599
attack,11770,1758.423052072525
attack,3231,1707.6995913982391
attack,5021,1749.1411259174347
attack,9732,1784.656323671341
attack,10909,1867.2391183376312
attack,13530,1690.1242933273315
attack,5292,1794.2694528102875
attack,21382,1734.0548577308655
attack,22586,1792.5063214302063
attack,2345,1694.8501436710358
attack,22607,1639.4167828559875
attack,11899,1807.7511949539185
attack,16525,1703.0338973999023
attack,1825,1701.355783700943
attack,5401,1698.6231179237366
attack,16136,2035.412023305893
attack,87,1905.8455274105072
attack,14194,1776.3208434581757
attack,1806,1758.0762481689453
attack,3595,1666.3109257221222
attack,7421,1694.9580600261688
attack,19931,1642.9065282344818
attack,14226,1584.5113508701324
attack,7181,1584.7574346065521
attack,13978,1652.0357177257538
attack,3100,1671.1178121566772
base,6387,553.9068768024445
base,19843,557.1591713428497
base,20745,545.5196504592896
base,11770,560.3021838665009
base,3231,548.7194981575012
base,5021,563.7658956050873
base,9732,578.3326296806335
base,10909,579.1489200592041
base,13530,544.3525643348694
base,5292,546.1759586334229
base,21382,552.7241690158844
base,22586,567.8031837940216
base,2345,563.9365549087524
base,22607,542.1895213127136
base,11899,570.7184014320374
base,16525,556.7936916351318
base,1825,569.5628261566162
base,5401,552.6203565597534
base,16136,561.9394392967224
base,87,567.6847150325775
base,14194,560.0341947078705
base,1806,563.2917799949646
base,3595,563.321878194809
base,7421,555.9772243499756
base,19931,542.2603075504303
base,14226,527.6125450134277
base,7181,546.1636490821838
base,13978,564.081577539444
base,3100,541.302384853363
