inserted stepLength exDP sigma speedDev departSpeed
1197 1 false 0.5 0.1 0
1642 1 false 0.5 0.1 max
1536 1 false 0.5 0.1 desired
2321 1 false 0.5 0.1 avg
1440 1 false 0 0 0
2074 1 false 0 0 max
1800 1 false 0 0 desired
1800 1 false 0 0 avg
1197 1 true 0.5 0.1 0
1645 1 true 0.5 0.1 max
2130 1 true 0.5 0.1 desired
2399 1 true 0.5 0.1 avg
1440 1 true 0 0 0
2081 1 true 0 0 max
2904 1 true 0 0 desired
2904 1 true 0 0 avg
1367 0.1 false 0.5 0.1 0
2196 0.1 false 0.5 0.1 max
2182 0.1 false 0.5 0.1 desired
2671 0.1 false 0.5 0.1 avg
1500 0.1 false 0 0 0
2754 0.1 false 0 0 max
2770 0.1 false 0 0 desired
2770 0.1 false 0 0 avg
1367 0.1 true 0.5 0.1 0
2194 0.1 true 0.5 0.1 max
2246 0.1 true 0.5 0.1 desired
2682 0.1 true 0.5 0.1 avg
1500 0.1 true 0 0 0
2755 0.1 true 0 0 max
2904 0.1 true 0 0 desired
2904 0.1 true 0 0 avg
